source	target
SLC27A2	FHOD3
SLC27A2	HEXIM1
SLC27A2	MOCS1
SLC27A2	PALLD
SLC27A2	WDR86
ITGA7	ARF6
TRIAP1	DCTPP1
TRIAP1	EEF1E1
TRIAP1	MRPL47
NDUFV2	ATP5H
NDUFV2	EMC7
NDUFV2	COQ3
NDUFV2	MRPS33
NDUFV2	IAH1
NDUFV2	ATP5C1
NDUFV2	UQCRFS1
NDUFV2	DKFZP586I1420*
NDUFV2	BCKDHB
NDUFV2	COA1
NDUFV2	COX7B
NDUFV2	LYPLA1
NDUFV2	MCCC2
NDUFV2	MRPL15
NDUFV2	MRPS7
NDUFV2	NDUFS7
NDUFV2	PNPLA4
NDUFV2	PSMD6
NDUFV2	RMDN1
NDUFV2	SNRNP27
NDUFV2	UQCRC1
PLAC9	FEZ1
RPS9	EEF1G
RPS9	SVIP
LAMA5	FAM219A
AIFM1	SUPV3L1
AIFM1	BTBD6
AIFM1	AFG3L2
AIFM1	CHCHD3
AIFM1	PTPMT1
AIFM1	RHBDL2
PNP	BNC2
PNP	C14orf119
PNP	SNRPB
ECSIT	ALPK2
ECSIT	ZNF205
ECSIT	ANKRD65
ECSIT	DHODH
ECSIT	ACTR1B
ECSIT	ATG4D
ECSIT	GET4
ECSIT	NFYC
ECSIT	SPATA2
ECSIT	TRIOBP
TST	AQP7
FCER1G	RNASE6
FCER1G	NRROS
FCER1G	ADORA2B
FCER1G	FERMT3
FCER1G	ABCC3
FCER1G	CD86
FCER1G	PRIMA1
CLPTM1L	BAG3
CLPTM1L	INF2
CLPTM1L	RAB6B
CLPTM1L	SMAP1
EMD	WIBG
EMD	RNF222
EMD	APH1A
EMD	CGRRF1
EMD	PPP5C
ZNF32	TAF12
NEURL1B	INPP1
NEURL1B	FAM43A
NEURL1B	KL
NEURL1B	RAPGEF5
FABP5	STMN1
MRPL54	TMED1
PSMG2	CASP6
PSMG2	PAXIP1
SQRDL	NUDT1
SQRDL	PERP
MSC	C15orf59
MSC	C20orf24
FAHD2A	POLR2I
PARP6	SLC39A13
GJA4	ESAM
GJA4	EFNA1
GJA4	PIK3R3
GJA4	TINAGL1
COQ9	HSD17B10
COQ9	SCO1
COQ9	CYHR1
COQ9	GCDH
COQ9	MRPL35
COQ9	NDUFAF1
SDF2L1	MANF
SDF2L1	THOC6
SDF2L1	RABIF
SDF2L1	RAN
SDF2L1	SHCBP1
SDF2L1	VWA8
VPS72	SFT2D3
