Probe_Id	Symbol	is.hub	Module	has.cisEQTL	module.rank	cor.w.sqrtBMI	cor.w.logmatsuda	cor.w.logSi	is.keydriver	connectivity
ILMN_1803824	ZDHHC9	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_1772713	BMS1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	14
ILMN_2161357	C6orf111	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	31
ILMN_1655684	SARS2	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1666409	PSMB6	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	15
ILMN_1713491	VAMP2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1686664	MT2A	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1713993	UBAC2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1720430	PPDPF	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_2137464	DVL3	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1746516	RPS25	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_1730391	MRPS18A	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	28
ILMN_1683980	PLEKHM2	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1793572	C21orf81	FALSE	M2	FALSE	490	NegativeCorr	PositiveCorr	PositiveCorr	FALSE	6
ILMN_1692962	CTDSP2	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	46
ILMN_1697694	ATP6AP1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	24
ILMN_1669206	CNOT1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	39
ILMN_3200330	LOC399988	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1688565	ZNF580	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1812769	UBXN1	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	18
ILMN_1701331	UBE2M	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1727300	ZNF444	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1669508	PAF1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	15
ILMN_1744268	PLEC1	TRUE	M2	FALSE	490	NegativeCorr	PositiveCorr	NotCorr	FALSE	31
ILMN_1722059	SAFB	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1774844	MAPKAPK2	TRUE	M2	FALSE	490	NegativeCorr	NotCorr	NotCorr	FALSE	32
ILMN_1787410	EIF6	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_2334760	ARMCX3	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1798620	PQLC1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_1670076	FAM155B	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1737157	GRAMD1A	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1671427	FBXW4	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_1756542	TBC1D17	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_3178529	FAM108A2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_1762312	FOXRED1	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_1670948	TSR2	FALSE	M2	FALSE	490	NotCorr	NegativeCorr	NotCorr	FALSE	8
ILMN_1731157	MYOZ1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_2173294	FLJ10916	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	3
ILMN_1784036	CDH15	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	25
ILMN_3245066	DENND4B	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	38
ILMN_1813763	SLC20A2	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_1758846	ANKRD40	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1796177	GIPC1	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_2126239	SMG5	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	15
ILMN_1754220	SF3A2	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	14
ILMN_3247882	ERI3	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1753241	SNTA1	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_2077094	C11orf2	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_1660357	LOC641825	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1666597	PI4KB	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_3199438	LOC440366	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1785071	SEPP1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_1749838	MZF1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1665831	CLPTM1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	18
ILMN_1747716	ALDOB	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1665004	CASC3	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1655340	RNF181	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	3
ILMN_1766000	PM20D2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1751195	LOC653438	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1741942	STX16	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	27
ILMN_1658800	BRPF3	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	14
ILMN_2395314	PRKACA	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1715583	BOP1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	26
ILMN_1764321	ACOT4	FALSE	M2	FALSE	490	PositiveCorr	NegativeCorr	NotCorr	FALSE	6
ILMN_3276971	LOC642469	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1690268	HNRPUL1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	21
ILMN_1776375	PIN1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1758412	COPS7A	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
